component,path,type,severity,line,details,suggestion
"ChartContainerStyles","components/charts/styles/ChartContainerStyles.ts","hardcoded_opacity","medium",126,": '0 2px 8px rgba(0, 0, 0, 0.1)',","Use --glass-opacity-* CSS variables or token-based rgba values"
"ChartContainerStyles","components/charts/styles/ChartContainerStyles.ts","hardcoded_color","medium",132,"color: theme === 'dark' ? '#ffffff' : '#1a1a1a',","Use COLORS.* constants or CSS custom properties"
"ChartContainerStyles","components/charts/styles/ChartContainerStyles.ts","hardcoded_color","medium",138,"color: theme === 'dark' ? '#cccccc' : '#666666',","Use COLORS.* constants or CSS custom properties"
"ChartContainerStyles","components/charts/styles/ChartContainerStyles.ts","hardcoded_opacity","medium",157,"? 'rgba(0, 0, 0, 0.8)'","Use --glass-opacity-* CSS variables or token-based rgba values"
"ChartContainerStyles","components/charts/styles/ChartContainerStyles.ts","hardcoded_color","medium",161,"color: theme === 'dark' ? '#ffffff' : '#1a1a1a',","Use COLORS.* constants or CSS custom properties"
"ChartContainerStyles","components/charts/styles/ChartContainerStyles.ts","hardcoded_opacity","medium",165,"boxShadow: '0 4px 12px rgba(0, 0, 0, 0.15)',","Use --glass-opacity-* CSS variables or token-based rgba values"
"ChartContainerStyles","components/charts/styles/ChartContainerStyles.ts","hardcoded_opacity","medium",166,"border: theme === 'glass' ? '1px solid rgba(255, 255, 255, 0.2)' : 'none',","Use --glass-opacity-* CSS variables or token-based rgba values"
"ChartContainerStyles","components/charts/styles/ChartContainerStyles.ts","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"ChartElementStyles","components/charts/styles/ChartElementStyles.ts","hardcoded_color","medium",27,"colorScheme: string[] = ['#3b82f6', '#ef4444', '#10b981', '#f59e0b', '#8b5cf6']","Use COLORS.* constants or CSS custom properties"
"ChartElementStyles","components/charts/styles/ChartElementStyles.ts","hardcoded_opacity","medium",50,"? 'rgba(255, 255, 255, 0.2)'","Use --glass-opacity-* CSS variables or token-based rgba values"
"ChartElementStyles","components/charts/styles/ChartElementStyles.ts","hardcoded_opacity","medium",82,"start: 'rgba(59, 130, 246, 0.2)',","Use --glass-opacity-* CSS variables or token-based rgba values"
"ChartElementStyles","components/charts/styles/ChartElementStyles.ts","hardcoded_opacity","medium",83,"end: 'rgba(59, 130, 246, 0.05)',","Use --glass-opacity-* CSS variables or token-based rgba values"
"ChartElementStyles","components/charts/styles/ChartElementStyles.ts","hardcoded_opacity","medium",85,"{ offset: '0%', color: 'rgba(59, 130, 246, 0.2)' },","Use --glass-opacity-* CSS variables or token-based rgba values"
"ChartElementStyles","components/charts/styles/ChartElementStyles.ts","hardcoded_opacity","medium",86,"{ offset: '100%', color: 'rgba(59, 130, 246, 0.05)' },","Use --glass-opacity-* CSS variables or token-based rgba values"
"ChartElementStyles","components/charts/styles/ChartElementStyles.ts","hardcoded_opacity","medium",98,"baseStyles.scatter.stroke = 'rgba(255, 255, 255, 0.5)';","Use --glass-opacity-* CSS variables or token-based rgba values"
"ChartElementStyles","components/charts/styles/ChartElementStyles.ts","hardcoded_opacity","medium",99,"baseStyles.dataPoint.stroke = 'rgba(255, 255, 255, 0.5)';","Use --glass-opacity-* CSS variables or token-based rgba values"
"ChartElementStyles","components/charts/styles/ChartElementStyles.ts","hardcoded_opacity","medium",134,"border-bottom: 1px solid rgba(255, 255, 255, 0.1);","Use --glass-opacity-* CSS variables or token-based rgba values"
"ChartElementStyles","components/charts/styles/ChartElementStyles.ts","hardcoded_radius","low",146,"border-radius: 8px;","Use --glass-radius-* CSS variables or AURA_GLASS.radii"
"ChartElementStyles","components/charts/styles/ChartElementStyles.ts","hardcoded_radius","low",153,"border-radius: 6px;","Use --glass-radius-* CSS variables or AURA_GLASS.radii"
"ChartElementStyles","components/charts/styles/ChartElementStyles.ts","hardcoded_opacity","medium",154,"background: ${props => props.$active ? 'rgba(255, 255, 255, 0.2)' : 'transparent'};","Use --glass-opacity-* CSS variables or token-based rgba values"
"ChartElementStyles","components/charts/styles/ChartElementStyles.ts","hardcoded_opacity","medium",155,"color: ${props => props.$active ? '#ffffff' : 'rgba(255, 255, 255, 0.7)'};","Use --glass-opacity-* CSS variables or token-based rgba values"
"ChartElementStyles","components/charts/styles/ChartElementStyles.ts","hardcoded_color","medium",155,"color: ${props => props.$active ? '#ffffff' : 'rgba(255, 255, 255, 0.7)'};","Use COLORS.* constants or CSS custom properties"
"ChartElementStyles","components/charts/styles/ChartElementStyles.ts","hardcoded_opacity","medium",162,"/* Migrated from background: rgba(255, 255, 255, 0.1) */ ...createGlassStyle({ elevation: 'level1' });","Use --glass-opacity-* CSS variables or token-based rgba values"
"ChartElementStyles","components/charts/styles/ChartElementStyles.ts","hardcoded_color","medium",163,"color: #ffffff;","Use COLORS.* constants or CSS custom properties"
"ChartElementStyles","components/charts/styles/ChartElementStyles.ts","hardcoded_radius","low",169,"border-radius: 6px;","Use --glass-radius-* CSS variables or AURA_GLASS.radii"
"ChartElementStyles","components/charts/styles/ChartElementStyles.ts","hardcoded_opacity","medium",170,"color: rgba(255, 255, 255, 0.8);","Use --glass-opacity-* CSS variables or token-based rgba values"
"ChartElementStyles","components/charts/styles/ChartElementStyles.ts","hardcoded_opacity","medium",188,"border-color: rgba(255, 255, 255, 0.3);","Use --glass-opacity-* CSS variables or token-based rgba values"
"ChartElementStyles","components/charts/styles/ChartElementStyles.ts","hardcoded_radius","low",231,"border-radius: 8px;","Use --glass-radius-* CSS variables or AURA_GLASS.radii"
"ChartElementStyles","components/charts/styles/ChartElementStyles.ts","hardcoded_radius","low",251,"border-radius: 2px;","Use --glass-radius-* CSS variables or AURA_GLASS.radii"
"ChartElementStyles","components/charts/styles/ChartElementStyles.ts","hardcoded_color","medium",252,"background: ${props => props.$color || '#6366f1'};","Use COLORS.* constants or CSS custom properties"
"ChartElementStyles","components/charts/styles/ChartElementStyles.ts","hardcoded_opacity","medium",254,"box-shadow: 0 2px 8px rgba(0, 0, 0, 0.1);","Use --glass-opacity-* CSS variables or token-based rgba values"
"ChartElementStyles","components/charts/styles/ChartElementStyles.ts","hardcoded_opacity","medium",259,"color: ${props => props.$active === false ? 'rgba(255, 255, 255, 0.5)' : 'rgba(255, 255, 255, 0.8)'};","Use --glass-opacity-* CSS variables or token-based rgba values"
"ChartElementStyles","components/charts/styles/ChartElementStyles.ts","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"TooltipStyles","components/charts/styles/TooltipStyles.ts","hardcoded_opacity","medium",42,"? '0 8px 32px rgba(0, 0, 0, 0.3), 0 0 0 1px rgba(255, 255, 255, 0.2)'","Use --glass-opacity-* CSS variables or token-based rgba values"
"TooltipStyles","components/charts/styles/TooltipStyles.ts","hardcoded_opacity","medium",43,": '0 4px 12px rgba(0, 0, 0, 0.15)'","Use --glass-opacity-* CSS variables or token-based rgba values"
"TooltipStyles","components/charts/styles/TooltipStyles.ts","hardcoded_blur","high",45,"backdrop-filter: ${props => props.$theme === 'glass' ? 'blur(12px)' : 'none'};","Use --glass-blur-* CSS variables or AURA_GLASS.surfaces[intent][elevation].backdropBlur"
"TooltipStyles","components/charts/styles/TooltipStyles.ts","hardcoded_opacity","medium",49,"return 'rgba(0, 0, 0, 0.85)';","Use --glass-opacity-* CSS variables or token-based rgba values"
"TooltipStyles","components/charts/styles/TooltipStyles.ts","hardcoded_opacity","medium",57,"? '1px solid rgba(255, 255, 255, 0.2)'","Use --glass-opacity-* CSS variables or token-based rgba values"
"TooltipStyles","components/charts/styles/TooltipStyles.ts","hardcoded_color","medium",60,"color: ${props => props.$theme === 'light' ? '#1a1a1a' : '#ffffff'};","Use COLORS.* constants or CSS custom properties"
"TooltipStyles","components/charts/styles/TooltipStyles.ts","hardcoded_opacity","medium",94,"return 'rgba(0, 0, 0, 0.85)';","Use --glass-opacity-* CSS variables or token-based rgba values"
"TooltipStyles","components/charts/styles/TooltipStyles.ts","hardcoded_color","medium",117,"color: ${props => props.$theme === 'light' ? '#1a1a1a' : '#ffffff'};","Use COLORS.* constants or CSS custom properties"
"TooltipStyles","components/charts/styles/TooltipStyles.ts","hardcoded_opacity","medium",119,"? '1px solid rgba(255, 255, 255, 0.2)'","Use --glass-opacity-* CSS variables or token-based rgba values"
"TooltipStyles","components/charts/styles/TooltipStyles.ts","hardcoded_color","medium",149,"color: ${props => props.$theme === 'light' ? '#666666' : '#cccccc'};","Use COLORS.* constants or CSS custom properties"
"TooltipStyles","components/charts/styles/TooltipStyles.ts","hardcoded_color","medium",159,"color: ${props => props.$color || (props.$theme === 'light' ? '#1a1a1a' : '#ffffff')};","Use COLORS.* constants or CSS custom properties"
"TooltipStyles","components/charts/styles/TooltipStyles.ts","hardcoded_opacity","medium",167,"return 'rgba(255, 255, 255, 0.2)';","Use --glass-opacity-* CSS variables or token-based rgba values"
"TooltipStyles","components/charts/styles/TooltipStyles.ts","hardcoded_opacity","medium",190,"? '1px solid rgba(255, 255, 255, 0.2)'","Use --glass-opacity-* CSS variables or token-based rgba values"
"TooltipStyles","components/charts/styles/TooltipStyles.ts","hardcoded_color","medium",197,"color: ${props => props.$theme === 'light' ? '#666666' : '#cccccc'};","Use COLORS.* constants or CSS custom properties"
"TooltipStyles","components/charts/styles/TooltipStyles.ts","hardcoded_opacity","medium",222,"? '0 8px 32px rgba(0, 0, 0, 0.3), 0 0 0 1px rgba(255, 255, 255, 0.2)'","Use --glass-opacity-* CSS variables or token-based rgba values"
"TooltipStyles","components/charts/styles/TooltipStyles.ts","hardcoded_opacity","medium",223,": '0 4px 12px rgba(0, 0, 0, 0.15)',","Use --glass-opacity-* CSS variables or token-based rgba values"
"TooltipStyles","components/charts/styles/TooltipStyles.ts","hardcoded_opacity","medium",226,"? 'rgba(0, 0, 0, 0.85)'","Use --glass-opacity-* CSS variables or token-based rgba values"
"TooltipStyles","components/charts/styles/TooltipStyles.ts","hardcoded_opacity","medium",230,"border: theme === 'glass' ? '1px solid rgba(255, 255, 255, 0.2)' : '1px solid #e0e0e0',","Use --glass-opacity-* CSS variables or token-based rgba values"
"TooltipStyles","components/charts/styles/TooltipStyles.ts","hardcoded_color","medium",231,"color: theme === 'dark' ? '#ffffff' : '#1a1a1a',","Use COLORS.* constants or CSS custom properties"
"TooltipStyles","components/charts/styles/TooltipStyles.ts","hardcoded_color","medium",245,"color: theme === 'glass' ? '#ffffff' : theme === 'dark' ? '#ffffff' : '#1a1a1a',","Use COLORS.* constants or CSS custom properties"
"TooltipStyles","components/charts/styles/TooltipStyles.ts","hardcoded_opacity","medium",247,"? '1px solid rgba(255, 255, 255, 0.2)'","Use --glass-opacity-* CSS variables or token-based rgba values"
"TooltipStyles","components/charts/styles/TooltipStyles.ts","hardcoded_opacity","medium",260,"? '1px solid rgba(255, 255, 255, 0.2)'","Use --glass-opacity-* CSS variables or token-based rgba values"
"TooltipStyles","components/charts/styles/TooltipStyles.ts","hardcoded_color","medium",263,"color: theme === 'dark' ? '#cccccc' : '#666666',","Use COLORS.* constants or CSS custom properties"
"TooltipStyles","components/charts/styles/TooltipStyles.ts","hardcoded_color","medium",268,"color: theme === 'dark' ? '#cccccc' : '#666666',","Use COLORS.* constants or CSS custom properties"
"TooltipStyles","components/charts/styles/TooltipStyles.ts","hardcoded_color","medium",275,"color: theme === 'glass' ? '#ffffff' : theme === 'dark' ? '#ffffff' : '#1a1a1a',","Use COLORS.* constants or CSS custom properties"
"TooltipStyles","components/charts/styles/TooltipStyles.ts","hardcoded_opacity","medium",280,"? 'rgba(255, 255, 255, 0.2)'","Use --glass-opacity-* CSS variables or token-based rgba values"
"TooltipStyles","components/charts/styles/TooltipStyles.ts","hardcoded_opacity","medium",294,"? 'rgba(0, 0, 0, 0.85)'","Use --glass-opacity-* CSS variables or token-based rgba values"
"TooltipStyles","components/charts/styles/TooltipStyles.ts","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"ChartAnimationUtils","components/charts/utils/ChartAnimationUtils.ts","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassTypingIndicator","components/chat/GlassTypingIndicator.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassTypingIndicator","components/chat/GlassTypingIndicator.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassCanvas","components/cms/GlassCanvas.tsx","missing_aria","high",0,"Component has interactive elements but no ARIA attributes detected","Add aria-label, aria-labelledby, or aria-describedby for accessibility"
"GlassCanvas","components/cms/GlassCanvas.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassCanvas","components/cms/GlassCanvas.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassComponentPalette","components/cms/GlassComponentPalette.tsx","missing_aria","high",0,"Component has interactive elements but no ARIA attributes detected","Add aria-label, aria-labelledby, or aria-describedby for accessibility"
"GlassComponentPalette","components/cms/GlassComponentPalette.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassComponentPalette","components/cms/GlassComponentPalette.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassDragDropProvider","components/cms/GlassDragDropProvider.tsx","missing_aria","high",0,"Component has interactive elements but no ARIA attributes detected","Add aria-label, aria-labelledby, or aria-describedby for accessibility"
"GlassDragDropProvider","components/cms/GlassDragDropProvider.tsx","hardcoded_color","medium",211,"color: '#333333',","Use COLORS.* constants or CSS custom properties"
"GlassDragDropProvider","components/cms/GlassDragDropProvider.tsx","hardcoded_color","medium",246,"color: '#111827',","Use COLORS.* constants or CSS custom properties"
"GlassPageBuilder","components/cms/GlassPageBuilder.tsx","missing_aria","high",0,"Component has interactive elements but no ARIA attributes detected","Add aria-label, aria-labelledby, or aria-describedby for accessibility"
"GlassPageBuilder","components/cms/GlassPageBuilder.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassPageBuilder","components/cms/GlassPageBuilder.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassPageStructure","components/cms/GlassPageStructure.tsx","missing_aria","high",0,"Component has interactive elements but no ARIA attributes detected","Add aria-label, aria-labelledby, or aria-describedby for accessibility"
"GlassPageStructure","components/cms/GlassPageStructure.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassPageStructure","components/cms/GlassPageStructure.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassPropertyPanel","components/cms/GlassPropertyPanel.tsx","missing_aria","high",0,"Component has interactive elements but no ARIA attributes detected","Add aria-label, aria-labelledby, or aria-describedby for accessibility"
"GlassPropertyPanel","components/cms/GlassPropertyPanel.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassPropertyPanel","components/cms/GlassPropertyPanel.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"CollaborativeGlassWorkspace","components/collaboration/CollaborativeGlassWorkspace.tsx","hardcoded_color","medium",116,"{ id: 'user-1', name: 'Alice Johnson', role: 'admin', avatar: '', color: '#3B82F6' },","Use COLORS.* constants or CSS custom properties"
"CollaborativeGlassWorkspace","components/collaboration/CollaborativeGlassWorkspace.tsx","hardcoded_color","medium",117,"{ id: 'user-2', name: 'Bob Smith', role: 'editor', avatar: '', color: '#10B981' },","Use COLORS.* constants or CSS custom properties"
"CollaborativeGlassWorkspace","components/collaboration/CollaborativeGlassWorkspace.tsx","hardcoded_color","medium",118,"{ id: 'user-3', name: 'Carol Davis', role: 'viewer', avatar: '', color: '#F59E0B' }","Use COLORS.* constants or CSS custom properties"
"CollaborativeGlassWorkspace","components/collaboration/CollaborativeGlassWorkspace.tsx","hardcoded_opacity","medium",612,"backgroundImage: `linear-gradient(rgba(255,255,255,0.1) 1px, transparent 1px), linear-gradient(90deg, rgba(255,255,255,0.1) 1px, transparent 1px)`,","Use --glass-opacity-* CSS variables or token-based rgba values"
"CollaborativeGlassWorkspace","components/collaboration/CollaborativeGlassWorkspace.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"CollaborativeGlassWorkspace","components/collaboration/CollaborativeGlassWorkspace.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassCollaborationDashboard","components/collaboration/GlassCollaborationDashboard.tsx","missing_aria","high",0,"Component has interactive elements but no ARIA attributes detected","Add aria-label, aria-labelledby, or aria-describedby for accessibility"
"GlassCollaborationDashboard","components/collaboration/GlassCollaborationDashboard.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassCollaborationDashboard","components/collaboration/GlassCollaborationDashboard.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassCollaborationProvider","components/collaboration/GlassCollaborationProvider.tsx","missing_aria","high",0,"Component has interactive elements but no ARIA attributes detected","Add aria-label, aria-labelledby, or aria-describedby for accessibility"
"GlassCollaborationProvider","components/collaboration/GlassCollaborationProvider.tsx","hardcoded_color","medium",153,"{ id: 'user-2', name: 'Sarah Chen', email: 'sarah@company.com', color: '#EF4444' },","Use COLORS.* constants or CSS custom properties"
"GlassCollaborationProvider","components/collaboration/GlassCollaborationProvider.tsx","hardcoded_color","medium",154,"{ id: 'user-3', name: 'Mike Johnson', email: 'mike@company.com', color: '#10B981' },","Use COLORS.* constants or CSS custom properties"
"GlassCollaborationProvider","components/collaboration/GlassCollaborationProvider.tsx","hardcoded_color","medium",155,"{ id: 'user-4', name: 'Alex Rodriguez', email: 'alex@company.com', color: '#8B5CF6' }","Use COLORS.* constants or CSS custom properties"
"GlassCollaborationProvider","components/collaboration/GlassCollaborationProvider.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassCollaborativeComments","components/collaboration/GlassCollaborativeComments.tsx","hardcoded_opacity","medium",41,"ptr.style.filter = 'drop-shadow(0 2px 4px rgba(0,0,0,0.1))';","Use --glass-opacity-* CSS variables or token-based rgba values"
"GlassCollaborativeComments","components/collaboration/GlassCollaborativeComments.tsx","hardcoded_color","medium",46,"avatarRef.current.style.backgroundColor = user?.color || '#6B7280';","Use COLORS.* constants or CSS custom properties"
"GlassCollaborativeComments","components/collaboration/GlassCollaborativeComments.tsx","hardcoded_color","medium",175,"ref={(el) => { if (el) el.style.backgroundColor = replyUser?.color || '#6B7280'; }}","Use COLORS.* constants or CSS custom properties"
"GlassCollaborativeComments","components/collaboration/GlassCollaborativeComments.tsx","hardcoded_color","medium",217,"el.style.backgroundColor = resolved ? '#6B7280' : color;","Use COLORS.* constants or CSS custom properties"
"GlassCollaborativeComments","components/collaboration/GlassCollaborativeComments.tsx","hardcoded_color","medium",269,"newAvatarRef.current.style.backgroundColor = currentUser?.color || '#6B7280';","Use COLORS.* constants or CSS custom properties"
"GlassCollaborativeComments","components/collaboration/GlassCollaborativeComments.tsx","hardcoded_opacity","medium",279,"ptr.style.filter = 'drop-shadow(0 2px 4px rgba(0,0,0,0.1))';","Use --glass-opacity-* CSS variables or token-based rgba values"
"GlassCollaborativeComments","components/collaboration/GlassCollaborativeComments.tsx","hardcoded_color","medium",376,"color={user?.color || '#6B7280'}","Use COLORS.* constants or CSS custom properties"
"GlassCollaborativeComments","components/collaboration/GlassCollaborativeComments.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassCollaborativeComments","components/collaboration/GlassCollaborativeComments.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassCollaborativeCursor","components/collaboration/GlassCollaborativeCursor.tsx","missing_aria","high",0,"Component has interactive elements but no ARIA attributes detected","Add aria-label, aria-labelledby, or aria-describedby for accessibility"
"GlassCollaborativeCursor","components/collaboration/GlassCollaborativeCursor.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassCollaborativeCursor","components/collaboration/GlassCollaborativeCursor.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"CompactCookieNotice","components/cookie-consent/CompactCookieNotice.tsx","hardcoded_radius","low",56,"border-radius: 8px;","Use --glass-radius-* CSS variables or AURA_GLASS.radii"
"CompactCookieNotice","components/cookie-consent/CompactCookieNotice.tsx","hardcoded_opacity","medium",64,"box-shadow: 0 2px 10px rgba(0, 0, 0, 0.1);","Use --glass-opacity-* CSS variables or token-based rgba values"
"CompactCookieNotice","components/cookie-consent/CompactCookieNotice.tsx","hardcoded_opacity","medium",117,"border: 1px solid rgba(255, 255, 255, 0.25);","Use --glass-opacity-* CSS variables or token-based rgba values"
"CompactCookieNotice","components/cookie-consent/CompactCookieNotice.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"CompactCookieNotice","components/cookie-consent/CompactCookieNotice.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"CookieConsent","components/cookie-consent/CookieConsent.tsx","hardcoded_radius","low",48,"border-radius: 10px;","Use --glass-radius-* CSS variables or AURA_GLASS.radii"
"CookieConsent","components/cookie-consent/CookieConsent.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"CookieConsent","components/cookie-consent/CookieConsent.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlobalCookieConsent","components/cookie-consent/GlobalCookieConsent.tsx","hardcoded_radius","low",48,"border-radius: 12px;","Use --glass-radius-* CSS variables or AURA_GLASS.radii"
"GlobalCookieConsent","components/cookie-consent/GlobalCookieConsent.tsx","hardcoded_radius","low",157,"border-radius: 10px;","Use --glass-radius-* CSS variables or AURA_GLASS.radii"
"GlobalCookieConsent","components/cookie-consent/GlobalCookieConsent.tsx","hardcoded_radius","low",162,"border-radius: 10px;","Use --glass-radius-* CSS variables or AURA_GLASS.radii"
"GlobalCookieConsent","components/cookie-consent/GlobalCookieConsent.tsx","hardcoded_radius","low",172,"border-radius: 8px;","Use --glass-radius-* CSS variables or AURA_GLASS.radii"
"GlobalCookieConsent","components/cookie-consent/GlobalCookieConsent.tsx","hardcoded_radius","low",199,"border-radius: 4px;","Use --glass-radius-* CSS variables or AURA_GLASS.radii"
"GlobalCookieConsent","components/cookie-consent/GlobalCookieConsent.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlobalCookieConsent","components/cookie-consent/GlobalCookieConsent.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassActivityFeed","components/dashboard/GlassActivityFeed.tsx","missing_aria","high",0,"Component has interactive elements but no ARIA attributes detected","Add aria-label, aria-labelledby, or aria-describedby for accessibility"
"GlassActivityFeed","components/dashboard/GlassActivityFeed.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassActivityFeed","components/dashboard/GlassActivityFeed.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassChartWidget","components/dashboard/GlassChartWidget.tsx","missing_aria","high",0,"Component has interactive elements but no ARIA attributes detected","Add aria-label, aria-labelledby, or aria-describedby for accessibility"
"GlassChartWidget","components/dashboard/GlassChartWidget.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassKPICard","components/dashboard/GlassKPICard.tsx","missing_aria","high",0,"Component has interactive elements but no ARIA attributes detected","Add aria-label, aria-labelledby, or aria-describedby for accessibility"
"GlassKPICard","components/dashboard/GlassKPICard.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassKPICard","components/dashboard/GlassKPICard.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassMetricCard","components/dashboard/GlassMetricCard.tsx","missing_aria","high",0,"Component has interactive elements but no ARIA attributes detected","Add aria-label, aria-labelledby, or aria-describedby for accessibility"
"GlassMetricCard","components/dashboard/GlassMetricCard.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassMetricCard","components/dashboard/GlassMetricCard.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassStatCard","components/dashboard/GlassStatCard.tsx","missing_aria","high",0,"Component has interactive elements but no ARIA attributes detected","Add aria-label, aria-labelledby, or aria-describedby for accessibility"
"GlassStatCard","components/dashboard/GlassStatCard.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassStatCard","components/dashboard/GlassStatCard.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassAccordion","components/data-display/GlassAccordion.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassAccordion","components/data-display/GlassAccordion.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassAnimatedNumber","components/data-display/GlassAnimatedNumber.tsx","hardcoded_opacity","medium",161,"? '0 0 20px rgba(255,255,255,0.5), 0 0 40px ${glassStyles.borderColor || ""rgba(255, 255, 255, 0.3)""}'","Use --glass-opacity-* CSS variables or token-based rgba values"
